threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
0.3,0.8082191780821918,0.921875,0.8613138686131386,2,14,5,59
0.35,0.8055555555555556,0.90625,0.8529411764705882,2,14,6,58
0.4,0.8028169014084507,0.890625,0.8444444444444444,2,14,7,57
0.45,0.7936507936507936,0.78125,0.7874015748031497,3,13,14,50
0.5,0.7868852459016393,0.75,0.768,3,13,16,48
0.55,0.7931034482758621,0.71875,0.7540983606557377,4,12,18,46
0.6,0.8148148148148148,0.6875,0.7457627118644068,6,10,20,44
0.65,0.8333333333333334,0.625,0.7142857142857143,8,8,24,40
0.7,0.8444444444444444,0.59375,0.6972477064220184,9,7,26,38
